sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-07-06;;;1526,86;1535,70;1511,83;1524,17;;1;;0;
2018-07-05;;;1522,74;1536,05;1521,20;1526,60;;1;;0;
2018-07-04;;;1537,88;1538,03;1521,60;1522,34;;1;;0;
2018-07-03;;;1542,16;1548,79;1537,30;1538,40;;1;;0;
2018-07-02;;;1557,46;1557,46;1533,98;1540,86;;1;;0;
2018-06-29;;;1534,90;1560,74;1534,90;1558,88;;1;;0;
2018-06-28;;;1539,78;1543,24;1521,24;1531,66;;1;;0;
2018-06-27;;;1528,93;1550,14;1514,61;1540,88;;1;;0;
2018-06-26;;;1534,70;1539,40;1526,30;1529,23;;1;;0;
2018-06-25;;;1548,96;1553,12;1534,48;1534,65;;1;;0;
2018-06-21;;;1572,19;1576,96;1548,34;1549,55;;1;;0;
2018-06-20;;;1564,15;1582,27;1564,01;1572,29;;1;;0;
2018-06-19;;;1559,99;1565,62;1542,38;1564,87;;1;;0;
2018-06-18;;;1569,64;1569,64;1550,41;1561,65;;1;;0;
2018-06-15;;;1587,64;1587,64;1570,42;1570,43;;1;;0;
2018-06-14;;;1571,45;1591,66;1559,40;1588,00;;1;;0;
2018-06-13;;;1573,10;1575,47;1563,54;1571,07;;1;;0;
2018-06-12;;;1573,01;1577,04;1566,71;1572,27;;1;;0;
2018-06-11;;;1557,68;1571,23;1555,79;1571,18;;1;;0;
2018-06-08;;;1554,96;1562,36;1542,09;1555,87;;1;;0;
2018-06-07;;;1563,01;1575,74;1551,31;1555,65;;1;;0;
2018-06-05;;;1564,43;1572,12;1559,05;1559,05;;1;;0;
2018-06-04;;;1570,49;1578,47;1561,73;1564,73;;1;;0;
2018-06-01;;;1549,94;1573,36;1549,54;1569,51;;1;;0;
2018-05-31;;;1563,69;1572,42;1544,83;1549,94;;1;;0;
2018-05-30;;;1572,45;1574,65;1559,66;1562,54;;1;;0;
2018-05-29;;;1579,50;1579,50;1554,94;1572,30;;1;;0;
2018-05-28;;;1589,01;1598,35;1577,43;1581,52;;1;;0;
2018-05-25;;;1594,57;1603,04;1584,91;1586,98;;1;;0;
2018-05-24;;;1602,12;1612,78;1588,03;1593,57;;1;;0;
2018-05-23;;;1621,90;1621,90;1597,76;1602,10;;1;;0;
2018-05-22;;;1627,23;1632,30;1617,15;1624,44;;1;;0;
2018-05-21;;;1622,18;1634,76;1622,18;1626,25;;1;;0;
2018-05-18;;;1618,12;1627,13;1617,86;1621,61;;1;;0;
2018-05-17;;;1602,28;1618,95;1602,28;1618,95;;1;;0;
2018-05-16;;;1606,70;1606,70;1593,25;1602,27;;1;;0;
2018-05-15;;;1597,83;1608,47;1593,16;1606,72;;1;;0;
2018-05-14;;;1603,69;1607,40;1593,66;1598,58;;1;;0;
2018-05-11;;;1616,67;1619,79;1601,12;1603,25;;1;;0;
2018-05-09;;;1608,64;1623,04;1603,06;1616,80;;1;;0;
2018-05-08;;;1598,37;1608,94;1591,32;1608,94;;1;;0;
2018-05-07;;;1577,54;1600,45;1577,15;1597,93;;1;;0;
2018-05-04;;;1567,40;1577,82;1565,61;1577,08;;1;;0;
2018-05-03;;;1591,05;1591,05;1564,75;1566,96;;1;;0;
2018-05-02;;;1574,88;1592,12;1574,88;1590,97;;1;;0;
2018-04-30;;;1581,72;1582,20;1568,68;1570,71;;1;;0;
2018-04-27;;;1574,45;1583,11;1571,49;1580,78;;1;;0;
2018-04-26;;;1557,46;1575,23;1552,02;1573,76;;1;;0;
2018-04-25;;;1574,02;1574,02;1543,26;1557,29;;1;;0;
2018-04-24;;;1587,05;1593,10;1571,41;1575,40;;1;;0;
2018-04-23;;;1572,96;1587,65;1570,84;1587,65;;1;;0;
2018-04-20;;;1558,40;1576,98;1556,89;1572,58;;1;;0;
2018-04-19;;;1551,72;1563,83;1551,72;1558,23;;1;;0;
2018-04-18;;;1545,16;1553,88;1542,97;1552,48;;1;;0;
2018-04-17;;;1528,53;1548,50;1528,53;1545,16;;1;;0;
2018-04-16;;;1526,69;1533,74;1524,22;1526,27;;1;;0;
2018-04-13;;;1520,56;1534,04;1517,41;1526,66;;1;;0;
2018-04-12;;;1505,76;1520,85;1503,86;1518,88;;1;;0;
2018-04-11;;;1526,47;1526,47;1498,80;1504,71;;1;;0;
2018-04-10;;;1513,11;1526,99;1513,11;1526,76;;1;;0;
2018-04-09;;;1513,24;1527,56;1502,45;1511,32;;1;;0;
2018-04-06;;;1526,43;1526,43;1508,85;1511,37;;1;;0;
2018-04-05;;;1500,06;1527,44;1500,06;1527,22;;1;;0;
2018-04-04;;;1509,30;1511,69;1482,22;1494,65;;1;;0;
2018-04-03;;;1533,20;1533,20;1504,07;1508,80;;1;;0;
2018-03-29;;;1513,19;1537,25;1513,19;1535,35;;1;;0;
2018-03-28;;;1506,32;1512,13;1484,14;1512,13;;1;;0;
2018-03-27;;;1496,72;1517,55;1495,08;1510,11;;1;;0;
2018-03-26;;;1513,42;1519,79;1493,80;1496,59;;1;;0;
2018-03-23;;;1513,47;1520,66;1493,12;1513,18;;1;;0;
2018-03-22;;;1547,62;1547,62;1508,86;1515,84;;1;;0;
2018-03-21;;;1552,42;1553,18;1543,26;1549,70;;1;;0;
2018-03-20;;;1548,88;1556,07;1542,30;1551,97;;1;;0;
2018-03-19;;;1573,27;1573,27;1545,78;1547,41;;1;;0;
2018-03-16;;;1592,49;1593,43;1572,58;1573,48;;1;;0;
2018-03-15;;;1586,06;1592,28;1580,19;1592,28;;1;;0;
2018-03-14;;;1578,63;1598,35;1578,63;1585,31;;1;;0;
2018-03-13;;;1593,88;1603,34;1575,23;1578,15;;1;;0;
2018-03-12;;;1590,88;1602,26;1589,17;1593,83;;1;;0;
2018-03-09;;;1586,03;1592,77;1580,38;1589,62;;1;;0;
2018-03-08;;;1564,18;1586,22;1564,18;1585,53;;1;;0;
2018-03-07;;;1558,50;1564,20;1548,01;1564,19;;1;;0;
